HAT_KODU,DURAK_ID,BINIS_SAYISI
20171,13258,73
20171,13259,3
20171,13262,34
20171,13264,45
20171,50009,96
20171,50712,3
20171,50713,8
20171,50894,370
20171,99999,187
20181,10009,1912
20181,10240,13
20181,10241,67
20181,10246,47
20181,10247,180
20181,10248,11
20181,10251,107
20181,10252,53
20181,10254,93
20181,10255,1174
20181,12267,343
20181,12268,58
20181,12269,61
20181,12270,137
20181,12303,69
20181,12304,344
20181,12305,37
20181,12306,271
20181,12307,21
20181,12308,4
20181,12315,211
20181,12316,431
20181,12323,23
20181,12324,276
20181,12325,1
20181,12326,227
20181,12331,27
20181,12332,235
20181,12333,31
20181,12334,186
20181,12335,11
20181,12336,612
20181,12337,16
20181,12338,88
20181,12340,221
20181,12341,14
20181,12342,53
20181,12344,158
20181,12367,30
20181,12427,9
20181,12429,1
20181,12430,40
20181,12439,221
20181,12440,1
20181,12441,184
20181,99999,512
20191,10008,926
20191,10240,4
20191,10241,19
20191,10246,29
20191,10247,92
20191,10248,11
20191,10251,53
20191,10252,25
20191,10254,56
20191,10255,531
20191,12267,130
20191,12268,12
20191,12269,43
20191,12270,105
20191,12271,3
20191,12272,30
20191,12273,14
20191,12274,166
20191,12275,1
20191,12276,48
20191,12277,10
20191,12278,40
20191,12337,3
20191,12340,185
20191,12341,1
20191,12342,29
20191,12343,1
20191,12344,146
20191,12346,78
20191,12347,2
20191,12348,86
20191,12350,105
20191,12363,2
20191,12364,59
20191,12420,13
20191,12421,48
20191,12422,29
20191,99999,115
20201,10006,1184
20201,10240,2
20201,10241,34
20201,10246,30
20201,10247,138
20201,10248,15
20201,10251,89
20201,10252,24
20201,10254,65
20201,10255,749
20201,12267,282
20201,12268,27
20201,12269,64
20201,12270,132
20201,12271,17
20201,12272,48
20201,12273,28
20201,12274,387
20201,12275,1
20201,12276,153
20201,12277,13
20201,12278,75
20201,12331,12
20201,12332,131
20201,12333,17
20201,12334,44
20201,12335,2
20201,12336,76
20201,12363,29
20201,12364,98
20201,12367,34
20201,12368,67
20201,12369,10
20201,12404,62
20201,12405,2
20201,12406,11
20201,12407,3
20201,12408,116
20201,12409,1
20201,12410,197
20201,12411,3
20201,12413,1
20201,12431,3
20201,12433,7
20201,12435,19
20201,12437,149
20201,12438,11
20201,12439,58
20201,12441,82
20201,12452,62
20201,12453,3
20201,12454,213
20201,12455,7
20201,12456,57
20201,12458,25
20201,99999,151
20211,10017,1570
20211,12166,4
20211,12167,23
20211,12168,36
20211,12169,7
20211,12170,206
20211,12171,28
20211,12172,133
20211,12173,14
20211,12174,91
20211,12175,8
20211,12176,165
20211,12177,10
20211,12178,219
20211,12179,1
20211,12180,144
20211,12181,1
20211,12182,711
20211,99999,39
20231,10011,2703
20231,10240,9
20231,10241,29
20231,12060,40
20231,12061,458
20231,12062,77
20231,12063,272
20231,12199,89
20231,12200,148
20231,12201,92
20231,12202,154
20231,12203,93
20231,12204,269
20231,12205,28
20231,12206,110
20231,12207,58
20231,12208,252
20231,12209,22
20231,12210,61
20231,12211,62
20231,12212,201
20231,12214,239
20231,12215,31
20231,12216,127
20231,12217,5
20231,12218,73
20231,12219,38
20231,12220,390
20231,12222,77
20231,12223,7
20231,12224,121
20231,12225,5
20231,12226,126
20231,12227,3
20231,12228,5
20231,12229,7
20231,12230,208
20231,12231,3
20231,12232,143
20231,12233,3
20231,12234,218
20231,12235,8
20231,12238,9
20231,12240,151
20231,99999,459
20241,50710,1
20241,50713,1
20241,50714,3
20241,50722,14
20241,50893,22
20241,99999,3
20251,10561,41
20251,10562,293
20251,10564,2
20251,10565,1
20251,10566,33
20251,10567,3
20251,10568,50
20251,10569,2
20251,10570,49
20251,10571,51
20251,50009,85
20251,50894,263
20251,99999,772
20261,10095,9
20261,10121,1
20261,10213,300
20261,10224,5
20261,10226,4
20261,10228,9
20261,10235,11
20261,12058,33
20261,12061,135
20261,12062,92
20261,12063,82
20261,12199,32
20261,12200,60
20261,12201,10
20261,12202,49
20261,12203,38
20261,12204,94
20261,12205,7
20261,12206,51
20261,12207,31
20261,12208,86
20261,12209,21
20261,12210,32
20261,12211,7
20261,12212,39
20261,12214,100
20261,12215,10
20261,12216,41
20261,12217,1
20261,12218,18
20261,12219,5
20261,12220,108
20261,12222,30
20261,12223,2
20261,12224,36
20261,12225,1
20261,12226,30
20261,12228,9
20261,12229,1
20261,12230,56
20261,12231,1
20261,12232,52
20261,12233,1
20261,12234,42
20261,12238,8
20261,12240,20
20261,99999,271
